time,data
12.839600,5.075774e-20
12.840088,5.780816e-20
12.840576,6.141506e-20
12.841064,6.788365e-20
12.841553,5.715916e-20
12.842041,7.905026e-20
12.842529,8.163814e-20
12.843018,1.038373e-19
12.843506,9.051912e-20
12.843994,1.062266e-19
12.844482,8.369107e-20
12.844971,1.078128e-19
12.845459,9.467000e-20
12.845947,1.241066e-19
12.846436,8.579677e-20
12.846924,1.155289e-19
12.847412,1.070824e-19
12.847900,1.177987e-19
12.848389,1.040864e-19
12.848877,9.666724e-20
12.849365,1.025028e-19
12.849854,1.050598e-19
12.850342,9.255935e-20
12.850830,1.131434e-19
12.851318,1.004154e-19
12.851807,6.820607e-20
12.852295,9.835781e-20
12.852783,9.188451e-20
12.853271,8.001766e-20
12.853760,8.461176e-20
12.854248,6.242436e-20
12.854736,8.267868e-20
12.855225,5.830701e-20
12.855713,2.065745e-20
12.856201,5.100938e-20
12.856689,5.876923e-20
12.857178,3.727295e-20
12.857666,1.777664e-20
12.858154,2.830455e-20
12.858643,1.155280e-20
12.859131,4.745300e-21
12.859619,1.933177e-20
12.860107,-1.418736e-20
12.860596,1.171142e-20
12.861084,-9.592569e-21
12.861572,-6.397854e-20
12.862061,2.088603e-21
12.862549,-4.136640e-20
12.863037,-2.136760e-20
12.863525,-4.970376e-20
12.864014,-3.911939e-20
12.864502,-6.416321e-20
12.864990,-5.258193e-20
12.865479,-4.596499e-20
12.865967,-6.412900e-20
12.866455,-7.351285e-20
12.866943,-5.204214e-20
12.867432,-6.623087e-20
12.867920,-8.702998e-20
12.868408,-5.723901e-20
12.868896,-7.312098e-20
12.869385,-7.772974e-20
12.869873,-8.081338e-20
12.870361,-4.663116e-20
12.870850,-7.601343e-20
12.871338,-8.960226e-20
12.871826,-7.315192e-20
12.872314,-8.929578e-20
12.872803,-4.892090e-20
12.873291,-6.147118e-20
12.873779,-8.700676e-20
12.874268,-8.443082e-20
12.874756,-5.504580e-20
12.875244,-5.933748e-20
12.875732,-5.849375e-20
12.876221,-5.792894e-20
12.876709,-7.711883e-20
12.877197,-3.707301e-20
12.877686,-3.578931e-20
12.878174,-1.944404e-20
12.878662,-7.291322e-20
12.879150,-2.461752e-20
12.879639,-4.625193e-20
12.880127,-1.157805e-20
12.880615,1.567340e-20
12.881104,-4.407909e-20
12.881592,-1.279347e-20
12.882080,-4.900703e-21
12.882568,5.054557e-21
12.883057,2.636941e-21
12.883545,4.951413e-21
12.884033,-5.694956e-21
12.884521,2.406846e-20
12.885010,1.237828e-20
12.885498,3.779095e-20
12.885986,1.202211e-20
12.886475,4.399990e-20
12.886963,3.989270e-20
12.887451,1.651066e-20
12.887939,7.755044e-21
12.888428,5.703415e-20
12.888916,6.455807e-20
12.889404,3.708700e-20
12.889893,4.644579e-20
12.890381,3.539964e-20
12.890869,6.106085e-20
12.891357,5.978744e-20
12.891846,5.125306e-20
12.892334,5.232344e-20
12.892822,6.445979e-20
12.893311,6.594208e-20
12.893799,6.365907e-20
12.894287,5.842021e-20
12.894775,6.429902e-20
12.895264,7.406010e-20
