time,template
0.346436,-5.624298e-20
0.346680,-5.693233e-20
0.346924,-5.731998e-20
0.347168,-5.740409e-20
0.347412,-5.718395e-20
0.347656,-5.666009e-20
0.347900,-5.583614e-20
0.348145,-5.471474e-20
0.348389,-5.330284e-20
0.348633,-5.160804e-20
0.348877,-4.963680e-20
0.349121,-4.740319e-20
0.349365,-4.491525e-20
0.349609,-4.218795e-20
0.349854,-3.923574e-20
0.350098,-3.607426e-20
0.350342,-3.271814e-20
0.350586,-2.918786e-20
0.350830,-2.549993e-20
0.351074,-2.167542e-20
0.351318,-1.773465e-20
0.351562,-1.369519e-20
0.351807,-9.584422e-21
0.352051,-5.420856e-21
0.352295,-1.224020e-21
0.352539,2.976711e-21
0.352783,7.166795e-21
0.353027,1.131860e-20
0.353271,1.540996e-20
0.353516,1.942240e-20
0.353760,2.333266e-20
0.354004,2.711820e-20
0.354248,3.076181e-20
0.354492,3.424014e-20
0.354736,3.753811e-20
0.354980,4.063642e-20
0.355225,4.351716e-20
0.355469,4.616553e-20
0.355713,4.856823e-20
0.355957,5.071162e-20
0.356201,5.258470e-20
0.356445,5.417475e-20
0.356689,5.547581e-20
0.356934,5.647940e-20
0.357178,5.717997e-20
0.357422,5.757416e-20
0.357666,5.765899e-20
0.357910,5.743397e-20
0.358154,5.690045e-20
0.358398,5.606034e-20
0.358643,5.491871e-20
0.358887,5.348148e-20
0.359131,5.175591e-20
0.359375,4.975018e-20
0.359619,4.747703e-20
0.359863,4.494619e-20
0.360107,4.217319e-20
0.360352,3.917111e-20
0.360596,3.595653e-20
0.360840,3.254952e-20
0.361084,2.896262e-20
0.361328,2.521863e-20
0.361572,2.133690e-20
0.361816,1.733996e-20
0.362061,1.324686e-20
0.362305,9.081332e-21
0.362549,4.864107e-21
0.362793,6.205762e-22
0.363037,-3.628081e-21
0.363281,-7.860634e-21
0.363525,-1.205066e-20
0.363770,-1.617804e-20
0.364014,-2.021866e-20
0.364258,-2.415063e-20
0.364502,-2.795339e-20
0.364746,-3.160696e-20
0.364990,-3.508850e-20
0.365234,-3.838262e-20
0.365479,-4.147043e-20
0.365723,-4.433315e-20
0.365967,-4.695535e-20
0.366211,-4.932566e-20
0.366455,-5.142669e-20
0.366699,-5.325077e-20
0.366943,-5.478478e-20
0.367188,-5.602262e-20
0.367432,-5.695562e-20
0.367676,-5.757884e-20
0.367920,-5.788909e-20
0.368164,-5.788423e-20
0.368408,-5.756402e-20
0.368652,-5.693049e-20
0.368896,-5.598625e-20
0.369141,-5.473639e-20
0.369385,-5.318783e-20
0.369629,-5.134812e-20
0.369873,-4.922689e-20
0.370117,-4.683795e-20
0.370361,-4.419013e-20
0.370605,-4.130147e-20
0.370850,-3.818664e-20
0.371094,-3.486118e-20
0.371338,-3.134298e-20
0.371582,-2.765334e-20
0.371826,-2.380930e-20
0.372070,-1.983574e-20
0.372314,-1.575112e-20
0.372559,-1.157853e-20
0.372803,-7.340750e-21
0.373047,-3.062727e-21
0.373291,1.235643e-21
0.373535,5.526393e-21
0.373779,9.790401e-21
0.374023,1.400247e-20
0.374268,1.813943e-20
0.374512,2.217605e-20
0.374756,2.609583e-20
0.375000,2.987071e-20
0.375244,3.348384e-20
0.375488,3.691513e-20
0.375732,4.014348e-20
0.375977,4.315363e-20
0.376221,4.592581e-20
0.376465,4.844748e-20
0.376709,5.070335e-20
0.376953,5.267965e-20
0.377197,5.436768e-20
0.377441,5.575633e-20
0.377686,5.683769e-20
0.377930,5.760630e-20
0.378174,5.805746e-20
0.378418,5.818825e-20
0.378662,5.799801e-20
0.378906,5.748742e-20
0.379150,5.665884e-20
0.379395,5.551722e-20
0.379639,5.406798e-20
0.379883,5.231947e-20
0.380127,5.028041e-20
0.380371,4.796318e-20
